Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average
119.23999786376953,122.61000061035156,119.2300033569336,121.75,27584800,0.0,0.0,
119.80000305175781,120.30000305175781,118.4000015258789,120.11000061035156,24745200,0.0,0.0,
120.0999984741211,121.05000305175781,119.4000015258789,119.4800033569336,21692600,0.0,0.0,
118.30000305175781,118.30999755859375,116.13999938964844,116.44999694824219,35315200,0.0,0.0,
116.29000091552734,117.70999908447266,115.3499984741211,117.13999938964844,23078800,0.0,0.0,118.98600006103516
118.80000305175781,120.33000183105469,118.41000366210938,118.93000030517578,30404400,0.0,0.0,118.42200012207032
120.93000030517578,124.83000183105469,120.44999694824219,124.54000091552734,44297900,0.0,0.0,119.30800018310546
124.80000305175781,126.77999877929688,123.48999786376953,125.41999816894531,33266800,0.0,0.0,120.49599914550781
125.94000244140625,127.0999984741211,124.19999694824219,124.6500015258789,25716200,0.0,0.0,122.13600006103516
124.5999984741211,124.68000030517578,122.95999908447266,123.76000213623047,26226400,0.0,0.0,123.46000061035156
124.5999984741211,125.18000030517578,121.80000305175781,122.02999877929688,37224000,0.0,0.0,124.08000030517579
121.41999816894531,124.08999633789062,118.22000122070312,119.19999694824219,37906800,0.0,0.0,123.01199951171876
120.62000274658203,120.98999786376953,118.7300033569336,120.0199966430664,72937900,0.0,0.0,121.93199920654297
121.66000366210938,123.0,120.9800033569336,121.52999877929688,29686100,0.0,0.0,121.30799865722656
121.36000061035156,123.1500015258789,121.0199966430664,122.20999908447266,52509600,0.0,0.0,120.997998046875
130.07000732421875,130.97999572753906,128.32000732421875,129.27000427246094,61682100,0.0,0.0,122.44599914550781
131.6699981689453,133.24000549316406,128.7899932861328,129.39999389648438,44952100,0.0,0.0,124.48599853515626
130.77999877929688,133.74000549316406,130.57000732421875,132.5800018310547,36591200,0.0,0.0,126.99799957275391
132.72999572753906,133.52999877929688,131.77999877929688,132.72000122070312,28055500,0.0,0.0,129.23600006103516
130.77999877929688,132.6300048828125,130.67999267578125,131.5500030517578,23166800,0.0,0.0,131.1040008544922
129.4499969482422,130.08999633789062,127.55999755859375,128.3800048828125,26273300,0.0,0.0,130.9260009765625
127.97000122070312,129.38999938964844,127.41999816894531,128.4499969482422,20089500,0.0,0.0,130.73600158691406
129.27999877929688,131.50999450683594,127.91000366210938,128.11000061035156,26130000,0.0,0.0,129.84200134277344
129.16000366210938,131.61000061035156,129.02000427246094,131.52999877929688,22746300,0.0,0.0,129.6040008544922
130.6199951171875,131.50999450683594,129.5399932861328,131.39999389648438,23535200,0.0,0.0,129.5739990234375
131.66000366210938,132.0399932861328,129.0,129.66000366210938,24912900,0.0,0.0,129.8299987792969
131.32000732421875,132.0500030517578,129.4499969482422,129.69000244140625,20857800,0.0,0.0,130.0779998779297
128.66000366210938,129.92999267578125,128.1699981689453,129.55999755859375,19569200,0.0,0.0,130.3679992675781
129.38999938964844,131.3699951171875,128.9600067138672,131.3300018310547,24695600,0.0,0.0,130.3279998779297
131.10000610351562,131.4199981689453,129.27999877929688,129.77999877929688,19770700,0.0,0.0,130.00400085449218
128.6999969482422,130.27999877929688,127.87000274658203,128.6999969482422,25216100,0.0,0.0,129.81199951171874
129.8000030517578,131.99000549316406,129.2899932861328,129.9199981689453,33446300,0.0,0.0,129.85799865722657
128.50999450683594,129.25,126.37999725341797,127.45999908447266,30491300,0.0,0.0,129.43799896240233
127.18000030517578,128.72999572753906,126.55999755859375,128.3699951171875,25248700,0.0,0.0,128.84599761962892
128.50999450683594,130.27999877929688,128.32000732421875,129.0800018310547,22067500,0.0,0.0,128.70599822998048
130.17999267578125,133.41000366210938,129.8699951171875,132.3699951171875,27819700,0.0,0.0,129.43999786376952
133.9499969482422,134.25,129.57000732421875,129.77999877929688,28500700,0.0,0.0,129.41199798583983
129.5399932861328,130.75999450683594,127.25,129.8800048828125,26762900,0.0,0.0,129.8959991455078
131.30999755859375,132.5399932861328,130.13999938964844,131.00999450683594,20543300,0.0,0.0,130.4239990234375
132.24000549316406,136.57000732421875,132.24000549316406,134.57000732421875,43075600,0.0,0.0,131.52200012207032
134.77999877929688,136.27999877929688,134.07000732421875,135.8800048828125,28315800,0.0,0.0,132.2240020751953
136.00999450683594,138.0,135.7899932861328,136.1699981689453,30053800,0.0,0.0,133.502001953125
137.4600067138672,137.4600067138672,134.85000610351562,135.66000366210938,21524600,0.0,0.0,134.6580017089844
135.44000244140625,136.4199981689453,134.5800018310547,135.77000427246094,19403100,0.0,0.0,135.61000366210936
136.02000427246094,136.52999877929688,133.6699981689453,134.4600067138672,18684500,0.0,0.0,135.58800354003907
133.58999633789062,135.5800018310547,132.9499969482422,135.25999450683594,18844300,0.0,0.0,135.46400146484376
134.91000366210938,136.66000366210938,134.85000610351562,136.3800048828125,23558300,0.0,0.0,135.5060028076172
136.5399932861328,137.47999572753906,135.7899932861328,136.9199981689453,20763400,0.0,0.0,135.75800170898438
136.25999450683594,136.8699951171875,135.19000244140625,135.33999633789062,18405500,0.0,0.0,135.6720001220703
135.08999633789062,136.89999389648438,134.14999389648438,136.7100067138672,20749500,0.0,0.0,136.12200012207032
137.60000610351562,138.6999969482422,136.24000549316406,138.10000610351562,24751000,0.0,0.0,136.69000244140625
137.97999572753906,138.52000427246094,136.47999572753906,137.39999389648438,38908400,0.0,0.0,136.8940002441406
136.61000061035156,139.16000366210938,136.61000061035156,138.2100067138672,21861300,0.0,0.0,137.152001953125
137.4199981689453,138.41000366210938,136.6199951171875,138.0399932861328,20353700,0.0,0.0,137.69200134277344
